rank;score;statement;mechanism;stream;metal;signal;signal_tonnes;effect_tonnes_min;effect_tonnes_max;lever;capex_class;risks;test_plan;sources
1;0.744;Оптимизация шаровой загрузки (диаметр/класс шаров) приведёт к снижению потерь Ni за счёт улучшения раскрытия сростков;Измельчение влияет на раскрытие сростков полезных минералов в процессе флотации;породные;Ni;Высокая доля крупных классов в хвостах (недоизмельчение);2061;103;412;Оптимизация шаровой загрузки (диаметр/класс шаров);0;риск переизмельчения и образования тонких шламов | увеличение энергопотребления;опытная загрузка шаров на одной мельнице | контроль гранулометрии продукта измельчения | флотация пробы с изменённой гранулометрией | критерий успеха: снижение доли крупных классов в хвостах и повышение извлечения Ni;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 170 | geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 170
2;0.635;Перераспределение фронта флотации с увеличением времени первой контрольной операции приведёт к снижению потерь Ni за счёт повышения кинетики флотации;Кинетика флотации (недостаточное время пребывания → недоизвлечение медленно флотируемых зёрен);породные;Ni;Раскрытый Ni в шламах (потери флотации тонких классов);854;85;256;Перераспределение фронта флотации / время операций;0;Увеличение времени флотации может привести к снижению производительности фабрики | Дополнительные затраты на электроэнергию;Кинетические опыты с изменением времени флотации | Перебалансировка камер флотомашины | Критерий успеха: увеличение извлечения Ni на 10-30%;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 102
3;0.634;Применение гидрометаллургического доизвлечения для извлечения никеля из неизвлекаемых форм;Гидрометаллургическое выщелачивание;породные;Ni;Существенные потери Ni в неизвлекаемых формах (силикаты/валлериит);1372;206;549;Гидрометаллургическое доизвлечение неизвлекаемых форм;2;Необходимость строительства нового цеха | Высокие капитальные затраты;Провести лабораторные испытания выщелачивания проб хвостов | Оценить эффективность извлечения никеля | Сравнить результаты с ожидаемыми показателями;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 105 | geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 170
4;0.629;Изменение геометрии футеровки мельниц приведёт к снижению потерь Ni за счёт оптимизации траектории движения шаров;Геометрия футеровки мельниц настраивает измельчение;породные;Ni;Высокая доля крупных классов в хвостах (недоизмельчение);2061;103;309;Изменение геометрии футеровки мельниц;1;риск увеличения износа футеровки | необходимость замены футеровки;DEM-моделирование для подбора оптимальной геометрии футеровки | опытная кампания на одной мельнице с новой футеровкой | контроль гранулометрии и флотируемости продукта измельчения | критерий успеха: снижение доли крупных классов в хвостах и повышение извлечения Ni;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 174 | geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 170
5;0.622;Оптимизация реагентного режима с увеличением дозировки ксантогената и изменением порядка подачи реагентов приведёт к снижению потерь Ni за счёт улучшения гидрофобизации поверхности минералов;Реагентный режим (ксантогенат, аэрофлот, вспениватель) улучшает кинетику флотации;породные;Ni;Раскрытый Ni в шламах (потери флотации тонких классов);854;43;171;Оптимизация реагентного режима;0;Переизбыток реагентов может привести к повышенному расходу и образованию стабильной пены | Увеличение затрат на реагенты;Лабораторные флотационные опыты с вариацией дозировок реагентов | Анализ изменения извлечения Ni при различных режимах | Критерий успеха: увеличение извлечения Ni на 5-20%;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 248
6;0.588;Усиление контрольной флотации с увеличением аэрации и добавлением промежуточных контактных чанов приведёт к снижению потерь Ni за счёт улучшения флотируемости минералов;Контрольная флотация доизвлекает закрытые полезные минералы из хвостов;породные;Ni;Раскрытый Ni в шламах (потери флотации тонких классов);854;60;128;Усиление контрольной флотации (камеры, аэрация);0;Увеличение затрат на аэрацию и дополнительное оборудование | Возможное снижение селективности флотации;Лабораторная оценка времени агитации в контактных чанах | Кинетика контрольной флотации с различной аэрацией | Критерий успеха: увеличение извлечения Ni на 7-15%;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 256
7;0.588;Доизмельчение руды для повышения раскрытия минералов и улучшения флотации;Кинетика флотации;породные;Ni;Существенные потери Ni в неизвлекаемых формах (силикаты/валлериит);1372;137;412;regrinding;1;Увеличение энергопотребления | Потенциальное переизмельчение руды;Провести лабораторные испытания с различным размером помола | Оценить изменение флотируемости минералов | Сравнить результаты с базовым уровнем;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 43 | geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 244
8;0.579;Тонкое грохочение в цикле измельчения приведёт к снижению потерь Ni за счёт более точного разделения по крупности;Классификация предотвращает проскок крупных частиц;породные;Ni;Высокая доля крупных классов в хвостах (недоизмельчение);2061;62;206;Тонкое грохочение в цикле измельчения;1;риск снижения производительности из-за увеличения времени классификации | необходимость дополнительного оборудования;пилотный запуск тонкого грохота на части потока | контроль гранулометрии продукта классификации | флотация пробы с изменённой гранулометрией | критерий успеха: снижение доли крупных классов в хвостах и повышение извлечения Ni;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 206 | geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 212
9;0.539;Выделенный цикл доизмельчения песков/промпродукта с настройкой тонкости помола до -71 мкм приведёт к снижению потерь Cu за счёт раскрытия сростков;Доизмельчение вскрывает сульфидные зёрна из сростков с породой;породные;Cu;Закрытые сростки Cu в крупных классах (недораскрытие);789;79;158;Выделенный цикл доизмельчения проблемного класса;1;Переизмельчение тонко шламуемых сульфидов | Увеличение энергопотребления;Лабораторное доизмельчение пробы хвостов до -71 мкм | Флотация доизмельчённой пробы | Сравнение результатов флотации с исходными хвостами | Критерий успеха: увеличение извлечения Cu на 10-20%;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 243 | geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 170
10;0.531;Выделенный цикл доизмельчения проблемного класса песков/промпродукта приведёт к снижению потерь Ni за счёт раскрытия сростков;Доизмельчение вскрывает сульфидные зёрна из сростков с породой;породные;Ni;Закрытые сростки Ni в крупных классах (недораскрытие);1106;111;221;Выделенный цикл доизмельчения проблемного класса;1;Переизмельчение и образование тонких шламов | Увеличение энергопотребления;Лабораторное доизмельчение пробы хвостов | Флотация доизмельчённой пробы | Анализ гранулометрического состава и содержания Ni;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 244
