rank;score;statement;mechanism;stream;metal;signal;signal_tonnes;effect_tonnes_min;effect_tonnes_max;lever;capex_class;risks;test_plan;sources
1;0.746;Выделенный цикл доизмельчения проблемного класса для повышения извлечения металлов;Доизмельчение вскрывает сульфидные зёрна из сростков с породой;породные;Ni;Высокая доля крупных классов в хвостах (недоизмельчение);2184;218;546;Выделенный цикл доизмельчения проблемного класса;1;технический риск: сложность организации выделенного цикла доизмельчения | экономический риск: затраты на дополнительное оборудование и электроэнергию;Лабораторное доизмельчение пробы хвостов | Флотация продукта доизмельчения | Критерий успеха: повышение извлечения Ni в концентрате;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 174
2;0.675;Оптимизация шаровой загрузки для повышения тонности помола;Шаровая загрузка (диаметр/класс шаров) настраивает измельчение, влияя на баланс удар/истирание;породные;Ni;Высокая доля крупных классов в хвостах (недоизмельчение);2184;109;328;Оптимизация шаровой загрузки (диаметр/класс шаров);0;технический риск: сложность подбора оптимального диаметра и класса шаров | экономический риск: затраты на закупку новых шаров;Опытная загрузка на одной мельнице с различными диаметрами шаров | Контроль гранулометрии продукта измельчения | Критерий успеха: повышение доли класса -71 мкм в продукте измельчения;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 170
3;0.629;Изменение геометрии футеровки мельниц для улучшения тонности помола;Геометрия футеровки мельниц настраивает измельчение, изменяя траекторию шаров и энергию удара;породные;Ni;Высокая доля крупных классов в хвостах (недоизмельчение);2184;109;437;Изменение геометрии футеровки мельниц;1;технический риск: сложность моделирования и подбора оптимальной геометрии футеровки | экономический риск: высокие затраты на модернизацию футеровки;DEM-моделирование различных вариантов геометрии футеровки | Опытная кампания на одной мельнице с новой футеровкой | Критерий успеха: повышение доли класса -71 мкм в продукте измельчения;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 170
4;0.627;Оптимизация реагентного режима с увеличением дозировки ксантогената и изменением порядка подачи реагентов приведёт к снижению потерь Ni за счёт улучшения гидрофобизации поверхности минералов;Реагентный режим (ксантогенат, аэрофлот, вспениватель) улучшает кинетику флотации;породные;Ni;Раскрытый Ni в шламах (потери флотации тонких классов);1377;69;275;Оптимизация реагентного режима;0;Переизбыток реагентов может привести к повышенному расходу и увеличению затрат | Неправильный подбор реагентов может ухудшить флотационные показатели;Провести лабораторные флотационные опыты с вариацией дозировок реагентов | Сравнить результаты с базовым режимом | Определить оптимальную дозировку и порядок подачи реагентов;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 248
5;0.567;Перераспределение фронта флотации с увеличением времени первой контрольной операции приведёт к снижению потерь Ni за счёт более полного извлечения раскрытых зёрен;Кинетика флотации (недостаточное время пребывания → недоизвлечение медленно флотируемых зёрен);породные;Ni;Раскрытый Ni в шламах (потери флотации тонких классов);1377;69;207;Перераспределение фронта флотации / время операций;0;Увеличение времени флотации может привести к снижению производительности | Необходимость перебалансировки камер флотомашины;Провести кинетические опыты с различным временем флотации | Оценить влияние на извлечение Ni | Перебалансировать камеры флотомашины для оптимального распределения времени;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 102
6;0.552;Выделенный цикл доизмельчения класса +125, -125 +71 мкм приведёт к снижению потерь Ni за счёт раскрытия сростков Pnt/Cp;Раскрытие сростков (mech_liberation);породные;Ni;Закрытые сростки Ni в крупных классах (недораскрытие);1304;130;261;Выделенный цикл доизмельчения проблемного класса;1;Переизмельчение с образованием тонких шламов | Увеличение энергопотребления;Лабораторное доизмельчение пробы хвостов | Флотация доизмельчённой пробы | Сравнение результатов с исходными показателями;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 244
7;0.542;Усиление контрольной флотации с увеличением аэрации и времени операции приведёт к снижению потерь Ni за счёт более эффективного извлечения раскрытых зёрен;Контрольная флотация доизвлекает закрытые полезные минералы из хвостов;породные;Ni;Раскрытый Ni в шламах (потери флотации тонких классов);1377;41;138;Усиление контрольной флотации (камеры, аэрация);0;Увеличение аэрации может привести к повышенному расходу энергии | Необходимость корректировки параметров флотомашины;Провести опыты с различным уровнем аэрации и временем контрольной флотации | Оценить влияние на извлечение Ni | Определить оптимальные параметры аэрации и времени;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 148
8;0.535;Выделенный цикл доизмельчения проблемного класса песков/промпродукта приведёт к снижению потерь Cu за счёт раскрытия сростков;Раскрытие сростков (mech_liberation);породные;Cu;Закрытые сростки Cu в крупных классах (недораскрытие);938;94;188;Выделенный цикл доизмельчения проблемного класса;1;Переизмельчение с образованием тонких шламов | Увеличение энергопотребления;Лабораторное доизмельчение пробы хвостов | Флотация доизмельчённой пробы | Критерий успеха: увеличение извлечения Cu на 10-20%;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 243 | geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 244
9;0.533;Оптимизация реагентного режима с усилением собирателя повысит флотируемость раскрытых зёрен никеля в крупных классах;Гидрофобизация поверхности минералов усиливается при оптимальном реагентном режиме;породные;Ni;Раскрытый Ni в крупных/средних классах не извлечён флотацией;737;37;147;Оптимизация реагентного режима;0;неопределённость оптимального режима реагентов | возможное увеличение затрат на реагенты;лабораторные флотационные опыты с вариацией дозировок реагентов | анализ флотируемости раскрытых зёрен Ni | сравнение потерь Ni до и после оптимизации реагентного режима;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 248
10;0.526;Магнитная сепарация пирротина с доизмельчением магнитной фракции позволит снизить потери никеля за счёт выделения магнитного сульфида железа с примесным никелем;Магнитная сепарация выделяет пирротин (магнитная фракция с примесным Ni);породные;Ni;Изоморфная примесь Ni в пирротине;711;71;142;Магнитная сепарация пирротина с доизмельчением магнитной фракции;1;Необходимость дополнительной установки оборудования для магнитной сепарации | Возможные затраты на доизмельчение магнитной фракции;Магнитный анализ проб хвостов | Доизмельчение магнитной фракции | Флотация магнитной фракции | Критерий успеха: снижение потерь никеля на 10-20%;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 290
