rank;score;statement;mechanism;stream;metal;signal;signal_tonnes;effect_tonnes_min;effect_tonnes_max;lever;capex_class;risks;test_plan;sources
1;0.748;Магнитная сепарация пирротина с доизмельчением магнитной фракции позволит снизить потери никеля за счёт выделения пирротина в отдельный продукт.;Магнитная сепарация выделяет пирротин (магнитная фракция с примесным Ni).;пирротиновые;Ni;Изоморфная примесь Ni в пирротине;11162;1116;2791;Магнитная сепарация пирротина с доизмельчением магнитной фракции;1;технический риск: необходимость подбора оптимальных параметров магнитной сепарации и доизмельчения | экономический риск: затраты на модернизацию оборудования;провести магнитный анализ проб хвостов | провести флотацию магнитной фракции | оценить содержание никеля в магнитной фракции | критерий успеха: снижение потерь никеля с хвостами;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 290
2;0.611;Оптимизация шаровой загрузки мельниц позволит снизить потери Ni+Cu за счёт уменьшения переизмельчения;Измельчение может вызывать переизмельчение / ошламование;пирротиновые;Ni+Cu;Высокая доля шламового класса -10 мкм (переизмельчение);9027;451;1354;Оптимизация шаровой загрузки (диаметр/класс шаров);0;Необходимость подбора оптимальных параметров шаровой загрузки | Дополнительные затраты на закупку шаров;Опытная загрузка на одной мельнице | Контроль гранулометрии продукта измельчения | Сравнение потерь металлов в хвостах до и после внедрения;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 170
3;0.587;Оптимизация реагентного режима с увеличением дозировки ксантогената и аэрации улучшит флотируемость раскрытого Ni в тонких классах;Реагентный режим (ксантогенат, аэрофлот, вспениватель) улучшает кинетику флотации;пирротиновые;Ni;Раскрытый Ni в шламах (потери флотации тонких классов);2104;210;526;Оптимизация реагентного режима;0;Передозировка реагентов может привести к снижению селективности флотации | Увеличение затрат на реагенты;Лабораторные флотационные опыты с вариацией дозировок ксантогената | Измерение извлечения Ni при различных условиях аэрации | Критерий успеха: увеличение извлечения Ni в пенный продукт;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 248
4;0.574;Замена спиральных классификаторов на гидроциклоны с настройкой диаметра песковой насадки позволит снизить потери Ni+Cu за счёт повышения эффективности классификации и уменьшения переизмельчения;Классификация предотвращает переизмельчение / ошламование;пирротиновые;Ni+Cu;Высокая доля шламового класса -10 мкм (переизмельчение);9027;903;1805;Замена классификаторов на гидроциклоны / модернизация;1;Необходимость подбора оптимальных параметров гидроциклонов | Капитальные затраты на замену оборудования;Установка пилотной батареи гидроциклонов на одной секции | Настройка диаметра песковой насадки | Сравнение гранулометрического состава хвостов до и после внедрения;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 170
5;0.564;Тонкое грохочение в цикле измельчения позволит снизить потери Ni+Cu за счёт более эффективного разделения по крупности;Разделение по крупности повышает селективность разделения;пирротиновые;Ni+Cu;Высокая доля шламового класса -10 мкм (переизмельчение);9027;451;1354;Тонкое грохочение в цикле измельчения;1;Необходимость подбора оптимальных параметров грохочения | Дополнительные затраты на оборудование и электроэнергию;Установка пилотного грохота на части потока | Настройка параметров грохочения | Сравнение гранулометрического состава хвостов до и после внедрения;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 170 | geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 174
6;0.538;Перераспределение фронта флотации с увеличением времени первой контрольной операции повысит извлечение Ni из тонких классов;Кинетика флотации (недостаточное время пребывания → недоизвлечение медленно флотируемых зёрен);пирротиновые;Ni;Раскрытый Ni в шламах (потери флотации тонких классов);2104;105;316;Перераспределение фронта флотации / время операций;0;Снижение производительности флотомашин | Увеличение энергопотребления;Кинетические опыты с изменением времени флотации | Перебалансировка камер флотомашин | Критерий успеха: увеличение извлечения Ni в пенный продукт;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 102
7;0.527;Гидрометаллургическое доизвлечение неизвлекаемых форм позволит снизить потери никеля за счёт выщелачивания никеля из силикатной формы и валлериита.;Гидрометаллургическое доизвлечение позволяет извлечь никель из неизвлекаемых форм.;пирротиновые;Ni;Изоморфная примесь Ni в пирротине;11162;558;1674;Гидрометаллургическое доизвлечение неизвлекаемых форм;2;технический риск: необходимость разработки и оптимизации процесса выщелачивания | экономический риск: затраты на создание нового передела;провести лабораторное выщелачивание проб хвостов | оценить содержание никеля в растворе | критерий успеха: снижение потерь никеля с хвостами;
8;0.518;Усиление контрольной флотации (камеры, аэрация) повысит извлечение медленно флотируемых зёрен Cu;Контрольная флотация извлекает медленно флотируемые зёрна;породные;Cu;Раскрытый Cu в крупных/средних классах не извлечён флотацией;1405;70;140;Усиление контрольной флотации (камеры, аэрация);0;увеличение времени флотации | увеличение затрат на электроэнергию;кинетика контрольной флотации | подбор аэрации | критерий успеха: увеличение извлечения Cu на 5-10%;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 281
9;0.513;Оптимизация реагентного режима (ксантогенат, аэрофлот, вспениватель) улучшит флотируемость раскрытых зёрен Cu;Реагентный режим влияет на гидрофобизацию поверхности минералов;породные;Cu;Раскрытый Cu в крупных/средних классах не извлечён флотацией;1405;70;211;Оптимизация реагентного режима;0;неправильный подбор дозировок реагентов | увеличение затрат на реагенты;лабораторные флотационные опыты с вариацией дозировок реагентов | анализ флотируемости зёрен Cu | критерий успеха: увеличение извлечения Cu на 5-15%;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 102
10;0.507;Оптимизация плотности пульпы позволит снизить потери никеля за счёт улучшения селективности разделения.;Плотность пульпы влияет на селективность разделения.;пирротиновые;Ni;Изоморфная примесь Ni в пирротине;11162;558;1116;None;1;технический риск: необходимость подбора оптимальной плотности пульпы | экономический риск: возможные затраты на изменение режима флотации;провести эксперименты с различной плотностью пульпы | оценить содержание никеля в пенном продукте | критерий успеха: снижение потерь никеля с хвостами;
