rank;score;statement;mechanism;stream;metal;signal;signal_tonnes;effect_tonnes_min;effect_tonnes_max;lever;capex_class;risks;test_plan;sources
1;0.767;Оптимизация реагентного режима с увеличением дозировки ксантогената и изменением порядка подачи реагентов приведёт к снижению потерь Ni за счёт улучшения флотируемости раскрытых зёрен;Реагентный режим (ксантогенат, аэрофлот, вспениватель) улучшает кинетику флотации;породные;Ni;Раскрытый Ni в шламах (потери флотации тонких классов);2571;257;643;Оптимизация реагентного режима;0;перерасход реагентов | увеличение стоимости флотации;провести лабораторные флотационные опыты с вариацией дозировок ксантогената | сравнить показатели извлечения Ni при разных режимах | критерий успеха: повышение извлечения Ni на 10-25%;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 248
2;0.697;Усиление контрольной флотации с увеличением аэрации и добавлением промежуточных контактных чанов приведёт к снижению потерь Ni за счёт повышения эффективности извлечения раскрытых зёрен;Увеличение аэрации и времени агитации улучшает кинетику флотации;породные;Ni;Раскрытый Ni в шламах (потери флотации тонких классов);2571;180;514;Усиление контрольной флотации (камеры, аэрация);0;увеличение капитальных затрат на модернизацию | повышение энергопотребления;провести кинетические опыты контрольной флотации с изменением аэрации | добавить промежуточные контактные чаны | критерий успеха: повышение извлечения Ni на 7-20%;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 148
3;0.671;Замена спиральных классификаторов на гидроциклоны приведёт к снижению потерь Ni+Cu за счёт повышения эффективности классификации;Классификация;породные;Ni+Cu;Высокая доля шламового класса -10 мкм (переизмельчение);3865;387;773;Замена классификаторов на гидроциклоны / модернизация;1;Высокие затраты на модернизацию оборудования | Возможные проблемы с интеграцией гидроциклонов в существующую схему;Установка пилотной батареи гидроциклонов на одной секции | Анализ гранулометрического состава хвостов | Сравнение эффективности классификации;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 174
4;0.646;Выделенный цикл доизмельчения проблемного класса песков/промпродукта приведёт к снижению потерь Ni за счёт улучшения раскрытия сростков;Раскрытие сростков (mech_liberation);породные;Ni;Закрытые сростки Ni в крупных классах (недораскрытие);2088;209;522;Выделенный цикл доизмельчения проблемного класса;1;Избыточное измельчение может привести к переизмельчению и ухудшению флотации | Увеличение энергопотребления и затрат на доизмельчение;Лабораторное доизмельчение пробы хвостов до -71 мкм | Проведение флотации доизмельчённой пробы | Сравнение результатов флотации с исходными хвостами | Критерий успеха: увеличение извлечения Ni на 10-25%;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 244
5;0.644;Настройка гидроциклонов с уменьшением диаметра песковой насадки на 2 мм приведёт к снижению потерь Ni+Cu за счёт улучшения классификации и уменьшения переизмельчения;Разделение по крупности;породные;Ni+Cu;Высокая доля шламового класса -10 мкм (переизмельчение);3865;193;580;Настройка гидроциклонов (насадки, давление);0;Некорректная настройка может привести к ухудшению классификации | Увеличение затрат на обслуживание гидроциклонов;Замена насадок на одной батарее гидроциклонов | Опробование разгрузок | Анализ гранулометрического состава хвостов;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 170
6;0.634;Перераспределение фронта флотации с увеличением времени первой контрольной операции приведёт к снижению потерь Ni за счёт более полного извлечения медленно флотируемых зёрен;Увеличение времени флотации улучшает кинетику флотации;породные;Ni;Раскрытый Ni в шламах (потери флотации тонких классов);2571;129;386;Перераспределение фронта флотации / время операций;0;снижение производительности флотомашин | увеличение энергопотребления;провести кинетические опыты с изменением времени флотации | перебалансировать камеры флотомашин | критерий успеха: повышение извлечения Ni на 5-15%;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 102
7;0.606;Оптимизация реагентного режима с увеличением дозировки ксантогената и корректировкой pH повысит извлечение меди за счёт улучшения гидрофобизации поверхности минералов;Реагентный режим (ксантогенат, аэрофлот, вспениватель) улучшает кинетику флотации и гидрофобизацию поверхности;породные;Cu;Раскрытый Cu в шламах (потери флотации тонких классов);1601;160;400;Оптимизация реагентного режима;0;перерасход реагентов | увеличение стоимости флотации;лабораторные флотационные опыты с вариацией дозировок ксантогената | контроль pH и плотности пульпы | сравнение извлечения меди в пенный продукт;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 282 | geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 102
8;0.597;Внедрение тонкого грохочения в цикле измельчения приведёт к снижению потерь Ni+Cu за счёт уменьшения переизмельчения;Разделение по крупности;породные;Ni+Cu;Высокая доля шламового класса -10 мкм (переизмельчение);3865;193;464;Тонкое грохочение в цикле измельчения;1;Увеличение затрат на электроэнергию и обслуживание оборудования | Возможные проблемы с интеграцией тонкого грохочения в существующую схему;Установка пилотного грохота на части потока | Анализ гранулометрического состава хвостов | Сравнение эффективности флотации;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 170 | geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 174
9;0.578;Изменение геометрии футеровки мельниц улучшит раскрытие сростков и снизит потери Ni;Измельчение (grinding);породные;Ni;Закрытые сростки Ni в крупных классах (недораскрытие);2088;146;376;Изменение геометрии футеровки мельниц;1;Неподходящая геометрия футеровки может привести к переизмельчению или недостаточной эффективности | Увеличение затрат на замену футеровки;DEM-моделирование для подбора оптимальной геометрии футеровки | Опытная кампания на одной мельнице с новой футеровкой | Контроль гранулометрии и флотации продукта измельчения | Критерий успеха: увеличение извлечения Ni на 7-18%;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 174
10;0.559;Тонкое грохочение в цикле измельчения позволит снизить потери Ni за счёт более эффективного разделения классов крупности;Классификация (classification);породные;Ni;Закрытые сростки Ni в крупных классах (недораскрытие);2088;104;313;Тонкое грохочение в цикле измельчения;1;Неэффективная классификация может привести к проскоку крупных частиц в флотацию | Увеличение капитальных затрат на установку тонкого грохота;Установка пилотного грохота на части потока | Опробование классификации и флотации продукта грохочения | Сравнение результатов с исходным потоком | Критерий успеха: увеличение извлечения Ni на 5-15%;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 243
