rank;score;statement;mechanism;stream;metal;signal;signal_tonnes;effect_tonnes_min;effect_tonnes_max;lever;capex_class;risks;test_plan;sources
1;0.685;Магнитная сепарация пирротина с доизмельчением магнитной фракции позволит снизить потери никеля за счёт выделения пирротина с примесным никелем;Магнитная сепарация выделяет пирротин (магнитная фракция с примесным Ni), что снижает потери Ni;пирротиновые;Ni;Изоморфная примесь Ni в пирротине;11162;1116;2232;Магнитная сепарация пирротина с доизмельчением магнитной фракции;1;Необходимость дополнительного оборудования для магнитной сепарации | Возможные затраты на доизмельчение магнитной фракции;Провести магнитный анализ проб хвостов | Выполнить флотацию магнитной фракции | Оценить содержание никеля в магнитной фракции;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 290
2;0.648;Замена спиральных классификаторов на гидроциклоны с настройкой диаметра песковой насадки позволит снизить потери Ni+Cu за счёт улучшения классификации и уменьшения переизмельчения;Классификация предотвращает переизмельчение / ошламование;пирротиновые;Ni+Cu;Высокая доля шламового класса -10 мкм (переизмельчение);9027;903;2257;Замена классификаторов на гидроциклоны / модернизация;1;возможное увеличение износа оборудования | повышенные затраты на замену оборудования;установка пилотной батареи гидроциклонов на одной секции | контроль гранулометрического состава разгрузок | сравнение потерь металлов до и после внедрения;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 170
3;0.614;Тонкое грохочение в цикле измельчения снизит потери Ni+Cu за счёт более эффективного разделения по крупности;Грохот тонкого грохочения улучшает классификацию;пирротиновые;Ni+Cu;Высокая доля шламового класса -10 мкм (переизмельчение);9027;632;1805;Тонкое грохочение в цикле измельчения;1;увеличение капитальных затрат на оборудование | возможное снижение производительности цикла измельчения;установка пилотного грохота на части потока | контроль гранулометрического состава разгрузок | сравнение потерь металлов до и после внедрения;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 170
4;0.609;Оптимизация аэрации пульпы во флотационных машинах уменьшит потери Ni+Cu за счёт повышения флотируемости крупных частиц;Расход воздуха / аэрация уменьшает переизмельчение;пирротиновые;Ni+Cu;Высокая доля шламового класса -10 мкм (переизмельчение);9027;451;1354;Настройка гидроциклонов (насадки, давление);0;нестабильность процесса флотации | дополнительные затраты на энергоресурсы;изменение параметров аэрации на одной флотомашине | контроль флотометрических показателей | сравнение потерь металлов до и после оптимизации;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 174
5;0.582;Оптимизация реагентного режима с увеличением дозировки ксантогената и аэрофлота повысит извлечение Ni за счёт улучшения гидрофобизации поверхности минералов;Реагентный режим (ксантогенат, аэрофлот, вспениватель) улучшает кинетику флотации;пирротиновые;Ni;Раскрытый Ni в шламах (потери флотации тонких классов);2104;210;421;Оптимизация реагентного режима;0;Переизбыток реагентов может привести к снижению селективности флотации | Увеличение затрат на реагенты;Лабораторные флотационные опыты с вариацией дозировок реагентов | Контроль показателей флотации (извлечение, содержание Ni в концентрате) | Критерий успеха: увеличение извлечения Ni при оптимальных дозировках реагентов;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 248
6;0.554;Оптимизация реагентного режима позволит снизить потери Cu за счёт улучшения гидрофобизации поверхности;Реагентный режим влияет на гидрофобизацию поверхности минералов;породные;Cu;Раскрытый Cu в крупных/средних классах не извлечён флотацией;1405;70;211;Оптимизация реагентного режима;0;Необходимость лабораторных исследований для определения оптимальных дозировок | Возможные дополнительные расходы на реагенты;Лабораторные флотационные опыты с вариацией дозировок реагентов | Оценка гидрофобизации поверхности минералов | Критерий успеха: повышение извлечения Cu в пенный продукт;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 102 | geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 281
7;0.539;Усиление контрольной флотации с увеличением аэрации и времени операции повысит извлечение Ni за счёт доизвлечения закрытых зёрен Pnt/Cp;Контрольная флотация снижает потери Ni с хвостами;пирротиновые;Ni;Раскрытый Ni в шламах (потери флотации тонких классов);2104;105;210;Усиление контрольной флотации (камеры, аэрация);0;Увеличение затрат на электроэнергию из-за повышения аэрации | Необходимость дополнительной обработки хвостов;Кинетика контрольной флотации с изменением аэрации | Подбор оптимального времени операции | Критерий успеха: увеличение извлечения Ni при оптимальных параметрах контрольной флотации;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 102
8;0.535;Перераспределение фронта флотации с увеличением времени первой контрольной операции повысит извлечение Ni за счёт улучшения кинетики флотации;Время флотации управляет кинетикой флотации;пирротиновые;Ni;Раскрытый Ni в шламах (потери флотации тонких классов);2104;105;316;Перераспределение фронта флотации / время операций;0;Увеличение времени флотации может привести к снижению производительности фабрики | Необходимость перебалансировки камер флотомашин;Кинетические опыты с изменением времени флотации | Перебалансировка камер флотомашин | Критерий успеха: увеличение извлечения Ni при оптимальном времени флотации;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 102
9;0.523;Усиление контрольной флотации позволит снизить потери Cu за счёт увеличения времени флотации;Кинетика флотации влияет на извлечение медленно флотируемых зёрен;породные;Cu;Раскрытый Cu в крупных/средних классах не извлечён флотацией;1405;70;211;Усиление контрольной флотации (камеры, аэрация);0;Необходимость настройки параметров флотации | Возможные изменения в работе флотационных машин;Кинетика контрольной флотации с различными параметрами аэрации | Подбор оптимальных условий флотации | Критерий успеха: повышение извлечения Cu в контрольной флотации;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 281
10;0.506;Гидрометаллургическое доизвлечение неизвлекаемых форм позволит снизить потери никеля за счёт выщелачивания никеля из силикатной формы и валлериита;Гидрометаллургия позволяет доизвлечь никель из неизвлекаемых форм;пирротиновые;Ni;Изоморфная примесь Ni в пирротине;11162;558;1674;Гидрометаллургическое доизвлечение неизвлекаемых форм;2;Необходимость разработки новой технологии выщелачивания | Возможные затраты на оборудование для гидрометаллургии;Провести лабораторное выщелачивание проб хвостов | Оценить содержание никеля в выщелоченном растворе | Определить оптимальные условия выщелачивания;
11;0.498;Доизмельчение закрытых зёрен пентландита и халькопирита позволит снизить потери никеля за счёт увеличения степени раскрытия минералов;Доизмельчение снижает потери Ni за счёт увеличения степени раскрытия минералов;пирротиновые;Ni;Изоморфная примесь Ni в пирротине;11162;558;1116;regrinding;1;Увеличение затрат на электроэнергию и износ оборудования | Возможное переизмельчение минералов;Провести доизмельчение проб хвостов | Оценить степень раскрытия минералов | Выполнить флотацию доизмельчённых проб;
12;0.497;Выделенный цикл доизмельчения проблемного класса песков с -125 +71 мкм приведёт к снижению потерь Ni за счёт более эффективного раскрытия сростков;mech_liberation;породные;Ni;Закрытые сростки Ni в крупных классах (недораскрытие);1452;145;290;Выделенный цикл доизмельчения проблемного класса;1;избыточное измельчение может привести к переизмельчению и ухудшению флотации | дополнительные затраты на электроэнергию и износ оборудования;лабораторное доизмельчение пробы хвостов в мельнице | флотация доизмельчённой пробы | сравнение результатов с исходными хвостами | критерий успеха: увеличение извлечения Ni на 10-20%;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 244
13;0.477;Тонкое грохочение в цикле измельчения позволит более эффективно классифицировать и направлять на доизмельчение проблемный класс песков;fine_screening;породные;Ni;Закрытые сростки Ni в крупных классах (недораскрытие);1452;73;218;Тонкое грохочение в цикле измельчения;1;дополнительные капитальные затраты на установку тонкого грохота | увеличение нагрузки на оборудование измельчения;установка пилотного грохота на части потока | анализ гранулометрического состава разгрузок | оценка влияния на извлечение Ni | критерий успеха: снижение содержания Ni в хвостах на 5-15%;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 243
14;0.474;Оптимизация геометрии футеровки мельниц для улучшения раскрытия сростков и снижения потерь Ni;Геометрия футеровки мельниц влияет на тонкость помола, что улучшает раскрытие сростков;породные;Ni;Высокая доля крупных классов в хвостах (недоизмельчение);2432;243;730;Изменение геометрии футеровки мельниц;1;необходимость проведения DEM-моделирования и опытной кампании | возможное увеличение энергопотребления;DEM-моделирование для определения оптимальной геометрии футеровки | опытная кампания на одной мельнице с новой геометрией | сравнение гранулометрии и извлечения Ni до и после изменений;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 170
15;0.461;Выделенный цикл доизмельчения проблемного класса для снижения потерь Ni;Доизмельчение вскрывает сульфидные зёрна из сростков с породой;породные;Ni;Высокая доля крупных классов в хвостах (недоизмельчение);2432;122;486;Выделенный цикл доизмельчения проблемного класса;1;увеличение времени и затрат на измельчение | возможное переизмельчение и образование тонких шламов;Лабораторное доизмельчение пробы хвостов | Флотация доизмельчённой пробы | Сравнение извлечения Ni до и после доизмельчения;geokniga-flotacionnye-metody-obogashcheniya_0.pdf, с. 174
